# x_ y_ z_ i_ s_ f_
#      10201          6
#          1        101        101          6
 0.80000000E-01 -0.10000000E+01  0.00000000E+00 -0.64000000E-02 -0.64000000E-02  0.00000000E+00
 0.10000000E+00 -0.10000000E+01  0.00000000E+00 -0.10000000E-01 -0.10000000E-01  0.00000000E+00
 0.12000000E+00 -0.10000000E+01  0.00000000E+00 -0.14400000E-01 -0.14400000E-01  0.00000000E+00
 0.14000000E+00 -0.10000000E+01  0.00000000E+00 -0.19600000E-01 -0.19600000E-01  0.00000000E+00
 0.16000000E+00 -0.10000000E+01  0.00000000E+00 -0.25600000E-01 -0.25600000E-01  0.00000000E+00
 0.18000000E+00 -0.10000000E+01  0.00000000E+00 -0.32400000E-01 -0.32400000E-01  0.00000000E+00
 0.20000000E+00 -0.10000000E+01  0.00000000E+00 -0.40000000E-01 -0.40000000E-01  0.00000000E+00
 0.22000000E+00 -0.10000000E+01  0.00000000E+00 -0.48400000E-01 -0.48400000E-01  0.00000000E+00
 0.24000000E+00 -0.10000000E+01  0.00000000E+00 -0.57600000E-01 -0.57600000E-01  0.00000000E+00
 0.26000000E+00 -0.10000000E+01  0.00000000E+00 -0.67600000E-01 -0.67600000E-01  0.00000000E+00
 0.28000000E+00 -0.10000000E+01  0.00000000E+00 -0.78400000E-01 -0.78400000E-01  0.00000000E+00
 0.30000000E+00 -0.10000000E+01  0.00000000E+00 -0.90000000E-01 -0.90000000E-01  0.00000000E+00
 0.32000000E+00 -0.10000000E+01  0.00000000E+00 -0.10240000E+00 -0.10240000E+00  0.00000000E+00
 0.34000000E+00 -0.10000000E+01  0.00000000E+00 -0.11560000E+00 -0.11560000E+00  0.00000000E+00
 0.36000000E+00 -0.10000000E+01  0.00000000E+00 -0.12960000E+00 -0.12960000E+00  0.00000000E+00
 0.38000000E+00 -0.10000000E+01  0.00000000E+00 -0.14440000E+00 -0.14440000E+00  0.00000000E+00
 0.40000000E+00 -0.10000000E+01  0.00000000E+00 -0.16000000E+00 -0.16000000E+00  0.00000000E+00
